Name,Rentals total,Rentals out,Rentals in,00:00 - 11:00 out,00:00 - 11:00 in,11:00 - 15:00 out,11:00 - 15:00 in,15:00 - 19:00 out,15:00 - 19:00 in,19:00 - 23:59 out,19:00 - 23:59 in,Time low [%],Time full [%],Median bikes
VIRTUAL HUB - ATLANTA BICYCLE COALITION,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - CANDLER PARK ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - BROWNWOOD PARK RECREATION CENTER,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
TWO WHEEL VALET-CARE WALK IN HER SHOES- VIRTUAL HUB,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
BROAD & MITCHELL,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0
TECH SQUARE ,21,9,12,1,0,2,3,4,6,2,3,0.0,0.0,6.0
MARTA - KING MEMORIAL ,9,3,6,0,0,3,4,0,2,0,0,0.0,4.81,9.0
OUTWRIGHT STATION,44,20,24,1,4,14,7,5,9,0,4,0.42,0.0,5.0
MARTA - PEACHTREE CENTER ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.5
VIRTUAL HUB - WASHINGTON PARK ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - HYATT HOUSE ATLANTA,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - WASHINGTON PARK LIBRARY ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - GRADUATE LIVING CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
GEORGIA TECH - CLOUGH BUILDING,19,11,8,2,0,4,5,2,2,3,1,0.0,89.42,11.5
MARTA - MIDTOWN  (NORTH),4,2,2,0,0,1,0,1,2,0,0,17.83,0.0,0.5
VIRTUAL HUB - MARIETTA AND BOSS STREET NW ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - EAST ATLANTA VILLAGE,3,1,2,0,0,0,0,1,0,0,2,30.07,0.0,1.0
VIRTUAL HUB - COAN PARK RECREATION CENTER ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB- TWO WHEEL VALET/ ATLANTA UNITED,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - KROGER/GLEENWOOD HUB ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
WOODRUFF PARK,1,0,1,0,0,0,0,0,1,0,0,0.0,0.0,5.0
GSU ARTS & HUMANITIES BLDG,2,1,1,0,0,1,0,0,1,0,0,0.0,0.0,3.0
GSU MARTA,5,2,3,0,0,0,0,2,3,0,0,0.0,0.0,4.0
SWEET AUBURN MARKET,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
NELSON ST BRIDGE,5,3,2,0,0,2,0,1,2,0,0,0.0,0.0,5.0
CITY HALL,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.0
VIRTUAL HUB - M. RICH CENTER,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
CENTENNIAL OLYMPIC PARK,22,14,8,0,0,1,0,7,4,6,4,0.0,0.0,10.0
FAIRLIE-POPLAR DISTRICT,14,6,8,0,0,0,0,2,3,4,5,0.0,0.0,4.5
PIEDMONT &  AUBURN,1,0,1,0,0,0,1,0,0,0,0,0.0,0.0,3.0
MARTA - NORTH AVE ,6,2,4,0,0,0,1,2,3,0,0,0.0,0.0,4.5
AUC - WOODRUFF LIBRARY,7,3,4,0,0,0,0,3,0,0,4,0.0,0.0,4.0
PIEDMONT PARK & EASTSIDE BELTLINE,131,61,70,1,1,17,19,41,40,2,10,0.0,10.98,11.0
PIEDMONT PARK EAST,44,18,26,0,0,4,5,14,17,0,4,0.0,0.0,8.0
STUDIOPLEX,29,13,16,0,0,4,0,7,10,2,6,0.0,6.15,8.0
KING OF POPS,52,22,30,0,0,13,14,7,8,2,8,0.0,32.52,11.0
GREENWOOD AVE BELTLINE,90,45,45,0,1,22,20,16,12,7,12,0.0,12.14,12.0
MARTA - ARTS CENTER ,3,2,1,0,0,2,1,0,0,0,0,0.0,0.0,2.0
ATKINS PARK,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
JACKSON & CHAMBERLAIN,2,2,0,0,0,0,0,2,0,0,0,0.0,0.0,7.0
RANDOLPH & EDGEWOOD,12,10,2,1,0,3,1,6,1,0,0,22.34,0.0,4.0
EDGEWOOD & EASTSIDE BELTLINE,27,17,10,0,1,8,2,5,7,4,0,0.0,0.0,6.5
5TH & ARGONNE,14,10,4,0,0,7,0,2,3,1,1,15.71,0.0,2.0
LITTLE FIVE POINTS,16,10,6,0,0,5,0,4,4,1,2,0.0,54.12,9.0
INMAN PARK,11,5,6,0,0,1,0,4,4,0,2,0.0,68.37,10.0
PARK & MEMORIAL,10,5,5,0,0,1,1,4,1,0,3,0.0,0.0,5.0
CHEROKEE & WOODWARD,2,0,2,0,0,0,0,0,2,0,0,0.0,0.0,7.5
VIRTUAL HUB - MILLTOWN,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
BUCKHEAD - TOWER PLACE,6,3,3,0,0,0,0,3,3,0,0,0.0,0.0,4.5
BUCKHEAD - PIEDMONT CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
MARTA - LENOX SQUARE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
ATLANTIC STATION,3,1,2,0,0,1,1,0,1,0,0,0.0,0.0,8.0
MARTA - GARNETT,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
IRWIN & EASTSIDE BELTLINE ,157,66,91,1,1,27,26,22,49,16,15,0.0,44.65,17.0
Relay HQ (Deleted),0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - 329 NELSON ST (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - 313 NELSON ST (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - Two Wheel Valet/ABC Donation Hub - PRIDE (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL  HUB - Two Wheel Valet/ABC Donation Hub (Special Event, Nov, Dec)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - DUNBAR REC CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - Two Wheel Valet/ABC Donation Hub - Taste of Atlanta (Special Event, Nov))",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
CASTLEBERRY HILL,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - Two Wheel Valet/ABC Donation Hub CHOMP AND STOMP (Special Event, Oct)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - FALCONS TAILGATE (Special Event, Nov)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
"VIRTUAL HUB - PATH PARKWAY (Special Event, Dec)",0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - PITTMAN REC CENTER,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - RDA SQUARE,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - MECHANICSVILLE LIBRARY,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - METROPOLITAN LIBRARY,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - GEORGIA HILL CENTER,0,0,0,0,0,0,0,0,0,0,0,66.6,0.0,0.0
VIRTUAL HUB - GRANT PARK EAST,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - NCR,0,0,0,0,0,0,0,0,0,0,0,98.19,0.0,0.5
