Name,Rentals total,Rentals out,Rentals in,00:00 - 11:00 out,00:00 - 11:00 in,11:00 - 15:00 out,11:00 - 15:00 in,15:00 - 19:00 out,15:00 - 19:00 in,19:00 - 23:59 out,19:00 - 23:59 in,Time low [%],Time full [%],Median bikes
VIRTUAL HUB - ATLANTA BICYCLE COALITION,3,2,1,0,0,1,1,1,0,0,0,0.0,100.0,3.0
VIRTUAL HUB - CANDLER PARK ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - BROWNWOOD PARK RECREATION CENTER,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
TWO WHEEL VALET-CARE WALK IN HER SHOES- VIRTUAL HUB,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
BROAD & MITCHELL,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
TECH SQUARE ,12,9,3,1,0,2,2,4,1,2,0,0.0,0.0,7.5
MARTA - KING MEMORIAL ,3,2,1,1,0,0,0,1,1,0,0,33.22,0.0,3.0
OUTWRIGHT STATION,4,2,2,0,0,0,0,2,2,0,0,0.0,0.0,0
MARTA - PEACHTREE CENTER ,2,2,0,0,0,0,0,2,0,0,0,0.0,0.0,2.0
VIRTUAL HUB - WASHINGTON PARK ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - HYATT HOUSE ATLANTA,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - WASHINGTON PARK LIBRARY ,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
VIRTUAL HUB - GRADUATE LIVING CENTER,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
GEORGIA TECH - CLOUGH BUILDING,16,3,13,0,3,0,7,3,3,0,0,0.0,60.37,16.5
MARTA - MIDTOWN  (NORTH),6,2,4,1,1,0,1,1,0,0,2,51.08,0.0,1.0
VIRTUAL HUB - MARIETTA AND BOSS STREET NW ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - EAST ATLANTA VILLAGE,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
VIRTUAL HUB - COAN PARK RECREATION CENTER ,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0
